-97	-195	-499	-290	-454	-48	566	-75	-69	-27	224	7	
-14	-355	-606	-536	-482	-42	289	0	-9	-7	3	-21	
9	-285	-900	-990	-152	49	635	243	40	-115	-182	-103	
33	-555	-900	-1356	-317	180	793	438	315	-27	-229	-134	
-301	-733	-988	-1488	-289	417	828	347	315	-122	-182	-161	
-384	-688	-1165	-1151	-207	368	828	503	339	-142	-102	-67	
-154	-133	-229	-97	-97	139	220	105	-48	-34	-14	31	
-91	341	546	400	16	-427	-838	-1119	-197	-48	280	63	
108	1698	2460	1539	-124	-1370	-1675	-2355	-346	344	443	390	
-49	1716	3051	1805	-172	-2400	-2008	-3547	-277	273	424	318	
83	1536	2406	1521	123	-1732	-2080	-2484	-312	345	316	231	
326	834	689	809	205	-1007	-809	-1104	-278	185	264	191	
